date,Rockbound Tax-Efficient 2035,Vanguard 2035,S&P 500
2025-09-05,11306.469296674197,10933.82165757947,10793.867715020908
2025-09-08,11394.077296674197,10982.542198251584,10817.186989542155
2025-09-09,11404.147296674197,10982.542198251584,10846.595968828353
2025-09-10,11476.133296674197,11010.963377355798,10879.267473488317
2025-09-11,11568.211296674197,11088.10429985937,10971.681221024353
2025-09-12,11568.068256674198,11067.80414101872,10966.824874186485
2025-09-15,11650.470212674198,11116.524681690831,11020.914226563453
2025-09-16,11689.454212674198,11120.585191822614,11007.11162990453
2025-09-17,11630.994212674197,11104.344745840992,10996.609733983787
2025-09-18,11695.902212674197,11132.765924945206,11049.443704184978
2025-09-19,11670.778212674195,11140.886147936018,11103.457439974749
2025-09-22,11720.048212674197,11165.246019635697,11153.329148726083
2025-09-23,11707.910212674198,11140.886147936018,11091.955643163124
2025-09-24,11672.402212674198,11104.344745840992,11060.449221259274
2025-09-25,11586.512212674199,11055.623407896126,11005.16468631964
2025-09-26,11644.960212674197,11092.164809991153,11070.41813036153
2025-09-29,11735.540212674197,11128.705414813423,11099.691293447422
2025-09-30,11790.044212674198,11165.246019635695,11146.210177405326
2025-10-01,11881.462212674198,11205.847134589749,11184.670388764702
2025-10-02,11901.4902126742,11222.08758057137,11191.707136223655
2025-10-03,11959.268212674198,11242.388536684773,11193.601221611667
2025-10-06,12025.132212674198,11262.688695525423,11235.241734483006
2025-10-07,11931.410212674198,11218.027070439586,11192.49633846866
2025-10-08,12015.338212674198,11262.688695525425,11257.718948562371
2025-10-09,11946.5702126742,11222.08758057137,11227.084686906956
2025-10-10,11588.174212674197,11035.323249055473,10924.1477533431
2025-10-13,11830.5542126742,11157.125796644883,11094.542024101875
2025-10-14,11812.532212674201,11161.186306776664,11077.356502842968
2025-10-15,11905.3622126742,11209.90764472153,11122.80060346442
2025-10-16,11934.9062126742,11197.726911598938,11052.819287368731
2025-10-17,11910.286212674197,11209.90764472153,11111.298806652796
2025-10-20,12111.062212674198,11295.168790215917,11230.024189966492
2025-10-21,12025.486212674197,11274.868631375266,11230.430170284157
2025-10-22,11938.022212674197,11242.388536684775,11170.665169017762
2025-10-23,12020.026212674198,11291.109077356887,11235.91787891803
2025-10-24,12117.956212674198,11339.83041530175,11325.212258696833
2025-10-27,12269.014212674196,11416.972135078078,11464.460571088777
2025-10-28,12285.336212674196,11425.091560796136,11490.742107059881
2025-10-29,12250.720212674198,11388.550955973864,11490.31410249352
2025-10-30,12139.126212674197,11323.589172047377,11376.57280666014
2025-10-31,12160.514212674196,11339.830415301753,11407.184309925236
2025-11-03,12210.682212674197,11347.950638292565,11427.519298747928
2025-11-04,11994.952212674198,11250.507962402833,11293.517896537429
2025-11-05,12054.066212674197,11278.929141507047,11334.834652952908
2025-11-06,11979.544212674196,11222.087580571371,11208.215778905915
2025-11-07,11974.822212674197,11238.328026552992,11223.513822051418
2025-11-10,12179.786212674197,11343.890128160781,11397.801979979964
2025-11-11,12273.006212674198,11376.371020124023,11421.46042793116
2025-11-12,12264.044212674196,11392.611466105647,11429.120461628261
2025-11-13,12043.558212674197,11270.808918516237,11240.233163379557
2025-11-14,11955.314212674195,11254.567675261862,11236.96256244793
2025-11-17,11828.888212674196,11177.426752758289,11135.098943937282
2025-11-18,11750.126212674197,11116.52468169083,11043.978019799808
2025-11-19,11711.374212674196,11120.585191822613,11085.799131510468
2025-11-20,11509.452212674196,11015.022292942069,10914.780840371923
2025-11-21,11576.262212674195,11100.28503298196,11022.831070341785
2025-11-24,11756.674212674196,11189.606688608126,11193.473480969218
2025-11-25,11889.0422126742,11270.808918516235,11295.615339155082
2025-11-26,12000.538212674199,11339.83041530175,11373.821243856157
2025-11-27,12000.538212674199,,
2025-11-28,12039.076212674197,11372.311307264992,11435.14189122224
2025-12-01,11974.496212674198,11319.529459188347,11375.647788214828
2025-12-02,12014.138212674197,11343.890128160781,11403.936467383928
2025-12-03,12072.250212674197,11376.371020124023,11438.299434343884
2025-12-04,12075.314212674195,11384.491243114833,11451.43249384239
2025-12-05,12054.382212674194,11392.611466105644,11475.361105910946
2025-12-08,12002.600212674195,11368.250797133212,11436.420031788337
2025-12-09,11972.990212674196,11356.070064010619,11426.512056440812
2025-12-10,12122.074212674197,11429.152070927918,11504.010982758688
2025-12-11,12139.370212674197,11453.511942627596,11528.059994053458
2025-12-12,11994.540212674196,11372.311307264996,11405.815869939473
2025-12-15,12024.316212674195,11376.371020124025,11389.52526731932
2025-12-16,11926.983652674196,11352.010351151592,11362.807651223999
2025-12-17,11731.879652674195,11278.929141507046,11231.31701336505
2025-12-18,11838.843652674199,11343.890128160781,11320.551193530744
2025-12-19,12018.393652674198,11400.731689096458,11420.640391737968
2025-12-22,12157.173652674195,11449.453027041323,11494.83935145929
2025-12-23,12223.657652674196,11490.834672020708,11547.184383339389
2025-12-24,12266.477652674195,11511.73517724448,11584.411970913308
2025-12-25,12266.477652674195,,
2025-12-26,12315.777652674196,11515.91448101648,11581.99150598142
2025-12-29,12125.679652674195,11499.194874110217,11541.907373351394
2025-12-30,12143.751652674195,11495.014773065463,11526.05285085546
